Internal_ID	Sub_site	QC_total_reads
TD_HC_HMP_S121_02	TD	44877366
TD_HC_HMP_S121_03	TD	143785134
TD_HC_HMP_S122_01	TD	95853308
TD_HC_HMP_S122_02	TD	231998704
TD_HC_HMP_S123_01	TD	86048102
TD_HC_HMP_S123_02	TD	151072124
TD_HC_HMP_S124_01	TD	89422284
TD_HC_HMP_S124_02	TD	111864432
TD_HC_HMP_S127_01	TD	67918870
TD_HC_HMP_S131_01	TD	66884080
TD_HC_HMP_S135_01	TD	128923542
TD_HC_HMP_S137_01	TD	46751696
TD_HC_HMP_S138_01	TD	133945510
TD_HC_HMP_S140_01	TD	78069086
TD_HC_HMP_S141_01	TD	52560444
TD_HC_HMP_S142_01	TD	116456624
TD_HC_HMP_S144_01	TD	54670750
TD_HC_HMP_S145_01	TD	138305922
TD_HC_HMP_S146_01	TD	51770444
TD_HC_HMP_S146_02	TD	83767214
TD_HC_HMP_S147_01	TD	132480532
TD_HC_HMP_S148_01	TD	64134328
TD_HC_HMP_S150_01	TD	156194602
TD_HC_HMP_S150_02	TD	54194068
TD_HC_HMP_S151_01	TD	150443392
TD_HC_HMP_S152_01	TD	125582720
TD_HC_HMP_S153_01	TD	119013450
TD_HC_HMP_S155_01	TD	153274174
TD_HC_HMP_S157_01	TD	141168852
TD_HC_HMP_S158_01	TD	55424052
TD_HC_HMP_S159_01	TD	53376292
TD_HC_HMP_S164_01	TD	93281294
TH_HC_HMP_S024_01	TH	28647926
TH_HC_HMP_S024_02	TH	39976922
TH_HC_HMP_S030_01	TH	20186116
TH_HC_HMP_S030_02	TH	25942034
TH_HC_HMP_S082_01	TH	6302504
TH_HC_HMP_S117_01	TH	126433422
BM_HC_HMP_S005_02	BM	332938
BM_HC_HMP_S012_01	BM	508341
BM_HC_HMP_S028_02	BM	345940
BM_HC_HMP_S032_01	BM	932638
BM_HC_HMP_S045_01	BM	672321
BM_HC_HMP_S048_01	BM	618557
BM_HC_HMP_S059_02	BM	198931
BM_HC_HMP_S077_01	BM	881576
BM_HC_HMP_S088_01	BM	734537
BM_HC_HMP_S100_02	BM	209608
BM_HC_HMP_S105_03	BM	18498
BM_HC_HMP_S111_02	BM	182043
BM_HC_HMP_S113_01	BM	467217
BM_HC_HMP_S123_02	BM	356283
BM_HC_HMP_S124_01	BM	672642
BM_HC_HMP_S142_01	BM	800415
BM_HC_HMP_S146_01	BM	596162
BM_HC_HMP_S156_01	BM	311609
KG_HC_HMP_S117_02	KG	962103
KG_HC_HMP_S152_01	KG	488728
PP_HC_HMP_S046_02	SUPP	0
PP_HC_HMP_S111_02	SUPP	729945
PT_HC_HMP_S146_01	PT	477603
PT_HC_HMP_S151_01	PT	644913
PT_HC_HMP_S157_01	PT	417577
TD_HC_HMP_S020_02	TD	65860886
TD_HC_HMP_S105_03	TD	470277
TD_HC_HMP_S162_01	TD	238353
TH_HC_HMP_S028_01	TH	593404
TH_HC_HMP_S028_02	TH	745187
TH_HC_HMP_S126_01	TH	680511
TH_HC_HMP_S146_01	TH	165672
TH_HC_HMP_S147_01	TH	282124
TH_HC_HMP_S153_01	TH	780960
TH_HC_HMP_S156_01	TH	403149
